slaytr/beel.dev,slaytr,683125712,21,20,307,355
facebook/react,acdlite,683053542,21797,8,58,19
facebook/react,motiz88,682660262,21790,24,680,221
facebook/react,acdlite,682148807,21784,1,10,8
facebook/react,eps1lon,679946520,21766,3,35,0
facebook/react,bvaughn,676427123,21733,1,2,1
facebook/react,DenrizSusam,676149964,21729,1,1,1
facebook/react,eps1lon,676062224,21728,2,13,12
facebook/react,acdlite,675776208,21722,6,6,6
facebook/react,xpl,675471452,21719,3,127,3
facebook/react,PrinceRajRoy,674835964,21713,4,6,6
facebook/react,angelseblani,674069335,21710,3,35,4
facebook/react,rickhanlonii,673624876,21702,14,452,129
facebook/react,angelseblani,669126883,21672,3,29,3
facebook/react,houssemchebeb,669104315,21671,5,8,8
facebook/react,zhusiyi111,668832506,21667,1,61,8
facebook/react,behnammodi,667445022,21659,7,55,72
facebook/react,LesterWeng,665667859,21651,4,6,6
facebook/react,yeyuqiudeng,664157726,21643,1,1,1
facebook/react,gaearon,662458784,21630,1,53,0
facebook/react,ckthomp,661863554,21623,2,2,2
facebook/react,berkelmas,658451273,21593,2,19,10
facebook/react,eps1lon,654747323,21575,44,841,659
facebook/react,bvaughn,654182364,21572,12,88,63
facebook/react,Exifers,651427238,21555,1,1,1
facebook/react,rickhanlonii,650138859,21546,1,2,2
facebook/react,penwa,645945322,21515,2,4,4
facebook/react,AlexRAV,645345232,21513,3,48,5
facebook/react,bradzacher,644951496,21511,2,32,4
facebook/react,gaearon,638334825,21487,10,280,199
facebook/react,mrsilver256,637172958,21480,1,7,1
facebook/react,eps1lon,629379285,21419,3,51,2
facebook/react,okmttdhr,629121977,21414,3,99,2
facebook/react,ktfth,625503018,21382,1,12,4
facebook/react,rickhanlonii,624763140,21372,24,162,41
facebook/react,linjinze999,624040462,21361,1,1,1
facebook/react,eltociear,623259693,21353,1,1,1
facebook/react,hwinkler,622791560,21351,12,18,1
facebook/react,Ananya-0306,622543145,21346,1,1,0
facebook/react,nigelterry,621692752,21338,1,2,0
facebook/react,dustybins,617370922,21309,1,13,0
facebook/react,SThouvenin,617365011,21308,3,232,1
facebook/react,SThouvenin,617363406,21307,3,232,1
facebook/react,ghost,616933585,21304,4,34,101
facebook/react,jasonLaster,615674346,21278,1,8,1
facebook/react,acdlite,614076980,21245,24,697,1389
facebook/react,eusbolh,611595956,21207,3,101,4
facebook/react,davidbonnet,609024381,21180,3,33,0
facebook/react,behnammodi,608029147,21169,6,56,54
facebook/react,ktfth,607631159,21166,2,80,2
facebook/react,gaearon,601184140,21102,1,4,0
facebook/react,bvaughn,600224353,21081,2,12,0
facebook/react,Uyadav207,597344097,21044,1,31,0
facebook/react,Sheharyar566,592501539,21001,1,2,1
facebook/react,jordyvandomselaar,591264384,20985,2,25,0
facebook/react,taichiyi,586012558,20945,2,12,8
facebook/react,acdlite,585932374,20942,3,197,0
facebook/react,ChrisDobby,585451248,20936,6,231,29
facebook/react,lexanth,582990880,20913,2,186,9
facebook/react,SoAsEr,581024882,20896,10,635,56
facebook/react,doublethefish,580024475,20880,1,90,1
facebook/react,lbfalvy,576753008,20850,4,33,29
facebook/react,taichiyi,576301025,20846,2,0,2
facebook/react,iChenLei,573080750,20821,7,101,0
facebook/react,renatoalencar,573009666,20820,3,10,24
facebook/react,kaykdm,572913335,20815,2,22,0
facebook/react,dmlux,571872536,20803,6,47,13
facebook/react,intellild,571099242,20786,6,106,3
facebook/react,sebmarkbage,570785690,20783,3,564,8
facebook/react,amensum,570705064,20780,3,18,5
facebook/react,gaearon,570651171,20777,2,21,18
facebook/react,acdlite,570646336,20776,18,137,395
facebook/react,acdlite,567971545,20739,2,824,450
facebook/react,Strate,566764682,20721,2,105,4
facebook/react,bvaughn,561848359,20664,3,637,63
facebook/react,acdlite,560330486,20646,37,1938,171
facebook/react,Ubachukwu-Ibeh,558576418,20633,1,2,0
facebook/react,rickhanlonii,557051246,20612,1,37,0
facebook/react,ZoteTheMighty,552017875,20563,1,400,238
facebook/react,rickhanlonii,549394756,20550,1,40,1
facebook/react,sibelius,549197760,20547,1,1,1
facebook/react,samcooke98,547115773,20524,8,693,39
facebook/react,seiyab,546834264,20521,3,110,9
facebook/react,michaelneu,545474963,20514,2,108,1
facebook/react,masad-frost,545420940,20513,2,94,1
